Date : 2025-05-13 23:55:13
Directory : /Users/davidfales/voicero-app-shop-test
Total : 60 files,  32712 codes, 2279 comments, 2628 blanks, all 37619 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     14,795 |          0 |          2 |     14,797 |
| JavaScript         |         22 |     12,433 |      1,943 |      1,837 |     16,213 |
| JavaScript JSX     |         13 |      3,712 |        201 |        400 |      4,313 |
| CSS                |          3 |        884 |         79 |        132 |      1,095 |
| Liquid             |          1 |        330 |          0 |         30 |        360 |
| Markdown           |          2 |        280 |          0 |        160 |        440 |
| TypeScript         |          5 |        147 |         43 |         34 |        224 |
| TOML               |          4 |         38 |          4 |         14 |         56 |
| MS SQL             |          2 |         26 |          2 |          2 |         30 |
| Prisma             |          1 |         25 |          5 |          5 |         35 |
| JSON with Comments |          1 |         21 |          0 |          1 |         22 |
| Docker             |          1 |         11 |          2 |          9 |         22 |
| Ignore             |          2 |         10 |          0 |          2 |         12 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                           |         60 |     32,712 |      2,279 |      2,628 |     37,619 |
| . (Files)                                                                                                   |         15 |     15,267 |         16 |        196 |     15,479 |
| app                                                                                                         |         26 |      5,138 |        314 |        552 |      6,004 |
| app (Files)                                                                                                 |          5 |        120 |          7 |         20 |        147 |
| app/config                                                                                                  |          1 |         10 |          4 |          4 |         18 |
| app/routes                                                                                                  |         19 |      4,967 |        294 |        515 |      5,776 |
| app/routes (Files)                                                                                          |         15 |      4,788 |        294 |        486 |      5,568 |
| app/routes/_index                                                                                           |          2 |        112 |          0 |         18 |        130 |
| app/routes/auth.login                                                                                       |          2 |         67 |          0 |         11 |         78 |
| app/styles                                                                                                  |          1 |         41 |          9 |         13 |         63 |
| extensions                                                                                                  |         15 |     12,255 |      1,940 |      1,873 |     16,068 |
